H1A
FRIDAY, 9:55-10:35, Aardrijkskunde, 0.08
FRIDAY, 13:30-14:10, Frans, 0.05

V1A
MONDAY, 8:30-9:15, Geschiedenis, 0.06
MONDAY, 9:15-9:55, Engels, 0.05
MONDAY, 9:55-10:35, Biologie, 0.09
MONDAY, 11:0-11:40, Handvaardigheid, 0.11
TUESDAY, 8:30-9:15, Geschiedenis, 0.06
TUESDAY, 9:15-9:55, Grieks, 0.02
TUESDAY, 9:55-10:35, Biologie, 0.09
TUESDAY, 14:10-14:50, Frans, 0.05
WEDNESDAY, 8:30-9:15, Informatica, 1.11
WEDNESDAY, 9:15-9:55, Grieks, 0.02
WEDNESDAY, 9:55-10:35, Lichamelijke Opvoeding, 0.01
WEDNESDAY, 14:10-14:50, Frans, 0.05
THURSDAY, 8:30-9:15, Informatica, 1.11
THURSDAY, 9:15-9:55, Aardrijkskunde, 0.08
THURSDAY, 9:55-10:35, Lichamelijke Opvoeding, 0.01
THURSDAY, 14:10-14:50, Latijn, 0.02
FRIDAY, 8:30-9:15, Engels, 0.05
FRIDAY, 9:15-9:55, Aardrijkskunde, 0.08
FRIDAY, 9:55-10:35, Handvaardigheid, 0.11
FRIDAY, 14:10-14:50, Latijn, 0.02

V1B
MONDAY, 8:30-9:15, Informatica, 1.11
MONDAY, 9:15-9:55, Grieks, 0.02
MONDAY, 9:55-10:35, Aardrijkskunde, 0.08
MONDAY, 11:0-11:40, Lichamelijke Opvoeding, 0.01
TUESDAY, 8:30-9:15, Informatica, 1.11
TUESDAY, 9:15-9:55, Engels, 0.05
TUESDAY, 9:55-10:35, Aardrijkskunde, 0.08
TUESDAY, 14:10-14:50, Latijn, 0.02
WEDNESDAY, 8:30-9:15, Geschiedenis, 0.06
WEDNESDAY, 9:15-9:55, Engels, 0.05
WEDNESDAY, 9:55-10:35, Handvaardigheid, 0.11
WEDNESDAY, 14:10-14:50, Latijn, 0.02
THURSDAY, 8:30-9:15, Geschiedenis, 0.06
THURSDAY, 9:15-9:55, Biologie, 0.09
THURSDAY, 9:55-10:35, Handvaardigheid, 0.11
THURSDAY, 14:10-14:50, Frans, 0.05
FRIDAY, 8:30-9:15, Grieks, 0.02
FRIDAY, 9:15-9:55, Biologie, 0.09
FRIDAY, 9:55-10:35, Lichamelijke Opvoeding, 0.01
FRIDAY, 14:10-14:50, Frans, 0.05

V2A
MONDAY, 11:40-12:20, Aardrijkskunde, 0.08
MONDAY, 12:20-13:0, Engels, 0.05
MONDAY, 14:50-15:30, Frans, 0.05
TUESDAY, 11:0-11:40, Lichamelijke Opvoeding, 0.01
TUESDAY, 11:40-12:20, Aardrijkskunde, 0.08
TUESDAY, 12:20-13:0, Grieks, 0.02
TUESDAY, 14:50-15:30, Frans, 0.05
WEDNESDAY, 11:0-11:40, Lichamelijke Opvoeding, 0.01
WEDNESDAY, 11:40-12:20, Biologie, 0.09
WEDNESDAY, 12:20-13:0, Grieks, 0.02
WEDNESDAY, 14:50-15:30, Latijn, 0.02
THURSDAY, 11:0-11:40, Handvaardigheid, 0.11
THURSDAY, 11:40-12:20, Biologie, 0.09
THURSDAY, 12:20-13:0, Geschiedenis, 0.06
THURSDAY, 14:50-15:30, Latijn, 0.02
FRIDAY, 11:0-11:40, Handvaardigheid, 0.11
FRIDAY, 11:40-12:20, Engels, 0.05
FRIDAY, 12:20-13:0, Geschiedenis, 0.06

V2B
MONDAY, 11:40-12:20, Biologie, 0.09
MONDAY, 12:20-13:0, Grieks, 0.02
MONDAY, 13:30-14:10, Geschiedenis, 0.06
MONDAY, 14:50-15:30, Latijn, 0.02
TUESDAY, 11:0-11:40, Handvaardigheid, 0.11
TUESDAY, 11:40-12:20, Biologie, 0.09
TUESDAY, 12:20-13:0, Engels, 0.05
TUESDAY, 13:30-14:10, Geschiedenis, 0.06
TUESDAY, 14:50-15:30, Latijn, 0.02
WEDNESDAY, 11:0-11:40, Handvaardigheid, 0.11
WEDNESDAY, 11:40-12:20, Aardrijkskunde, 0.08
WEDNESDAY, 12:20-13:0, Engels, 0.05
WEDNESDAY, 14:50-15:30, Frans, 0.05
THURSDAY, 11:0-11:40, Lichamelijke Opvoeding, 0.01
THURSDAY, 11:40-12:20, Aardrijkskunde, 0.08
THURSDAY, 14:50-15:30, Frans, 0.05
FRIDAY, 11:0-11:40, Lichamelijke Opvoeding, 0.01
FRIDAY, 11:40-12:20, Grieks, 0.02

V3A
MONDAY, 11:40-12:20, Lichamelijke Opvoeding, 0.01
MONDAY, 12:20-13:0, Geschiedenis, 0.06
MONDAY, 13:30-14:10, Grieks, 0.02
MONDAY, 15:30-16:10, Frans, 0.05
TUESDAY, 11:0-11:40, Aardrijkskunde, 0.08
TUESDAY, 11:40-12:20, Lichamelijke Opvoeding, 0.01
TUESDAY, 13:30-14:10, Grieks, 0.02
TUESDAY, 15:30-16:10, Latijn, 0.02
WEDNESDAY, 11:0-11:40, Aardrijkskunde, 0.08
WEDNESDAY, 11:40-12:20, Handvaardigheid, 0.11
WEDNESDAY, 15:30-16:10, Latijn, 0.02
THURSDAY, 11:0-11:40, Biologie, 0.09
THURSDAY, 11:40-12:20, Handvaardigheid, 0.11
THURSDAY, 12:20-13:0, Engels, 0.05
FRIDAY, 11:0-11:40, Biologie, 0.09
FRIDAY, 11:40-12:20, Geschiedenis, 0.06
FRIDAY, 12:20-13:0, Engels, 0.05
FRIDAY, 14:50-15:30, Frans, 0.05

V3B
MONDAY, 11:40-12:20, Handvaardigheid, 0.11
MONDAY, 13:30-14:10, Engels, 0.05
MONDAY, 15:30-16:10, Latijn, 0.02
TUESDAY, 11:0-11:40, Biologie, 0.09
TUESDAY, 11:40-12:20, Handvaardigheid, 0.11
TUESDAY, 12:20-13:0, Geschiedenis, 0.06
TUESDAY, 13:30-14:10, Engels, 0.05
TUESDAY, 15:30-16:10, Frans, 0.05
WEDNESDAY, 11:0-11:40, Biologie, 0.09
WEDNESDAY, 11:40-12:20, Lichamelijke Opvoeding, 0.01
WEDNESDAY, 12:20-13:0, Geschiedenis, 0.06
WEDNESDAY, 15:30-16:10, Frans, 0.05
THURSDAY, 11:0-11:40, Aardrijkskunde, 0.08
THURSDAY, 11:40-12:20, Lichamelijke Opvoeding, 0.01
THURSDAY, 12:20-13:0, Grieks, 0.02
FRIDAY, 11:0-11:40, Aardrijkskunde, 0.08
FRIDAY, 12:20-13:0, Grieks, 0.02
FRIDAY, 14:50-15:30, Latijn, 0.02

